system_type	bact_defence_system
3HP	3HP
AbiD	Abi
AbiE	Abi
AbiG	Abi
AbiL	Abi
AbiO	Abi
AbiQ	Abi
AbiU	Abi
AbiV	Abi
AbiZ	Abi
argonaute_other	Argonaute
argonaute_solo	Argonaute
argonaute_type_I	Argonaute
argonaute_type_II	Argonaute
argonaute_type_III	Argonaute
AVAST_type_I	AVAST
AVAST_type_I_other	AVAST
AVAST_type_II	AVAST
AVAST_type_III	AVAST
AVAST_type_IV	AVAST
brex_type_I	BREX
brex_type_II	BREX
brex_type_III	BREX
brex_type_IV	BREX
BstA	Abi
cas_adaptation	CRISPR-Cas_padloc
cas_type_I-A	CRISPR-Cas_padloc
cas_type_I-B1	CRISPR-Cas_padloc
cas_type_I-C	CRISPR-Cas_padloc
cas_type_I-D	CRISPR-Cas_padloc
cas_type_I-E	CRISPR-Cas_padloc
cas_type_I-F1	CRISPR-Cas_padloc
cas_type_I-F2	CRISPR-Cas_padloc
cas_type_I-F3	CRISPR-Cas_padloc
cas_type_I-G	CRISPR-Cas_padloc
cas_type_II-A	CRISPR-Cas_padloc
cas_type_II-C	CRISPR-Cas_padloc
cas_type_III-A	CRISPR-Cas_padloc
cas_type_III-B	CRISPR-Cas_padloc
cas_type_III-D	CRISPR-Cas_padloc
cas_type_III-H	CRISPR-Cas_padloc
cas_type_IV-B	CRISPR-Cas_padloc
cas_type_other	CRISPR-Cas_padloc
cbass_other	CBASS
cbass_type_I	CBASS
cbass_type_II	CBASS
cbass_type_IIs	CBASS
darTG	DarTG
disarm_type_I	DISARM
DMS_other	DMS
Dpd	Dpd
DprA-PRTase	DprA-PRTase
DRT_class_I	DRT
DRT_class_II	DRT
DRT_class_III	DRT
DRT_other	DRT
DRT_type_III	DRT
druantia_other	Druantia
druantia_type_III	Druantia
druantia_type_IV	Druantia
dsr1	Dsr
dsr2	Dsr
DUF4238	DUF4238
dXTPase	dXTPase
gabija	Gabija
GAO_19	GAO
GAO_20	GAO
GAO_29	GAO
gasdermin	Gasdermin
hachiman_other	Hachiman
hachiman_type_I	Hachiman
hachiman_type_II	Hachiman
Helicase-DUF2290	Helicase-DUF2290
hhe	Hhe
hma	Hma
Hydrolase-TM	Hydrolase-TM
ietAS	ietAS
kiwa	Kiwa
lamassu_type_I	Lamassu
lamassu_type_II	Lamassu
mza	Mza
mza_other	Mza
Nhi	Nhi
Old	Abi
Paris	PARIS
Paris_fused	Paris_fused
PifA	Abi
ppl	Ppl
PrrC	Abi
PT_DndABCDE	Phosphorothioation
PT_DndFGH	Phosphorothioation
PT_PbeABCD	Phosphorothioation
PT_SspABCD	Phosphorothioation
PT_SspE	Phosphorothioation
PT_SspFGH	Phosphorothioation
pycsar_effector	Pycsar
pycsar_other	Pycsar
pycsar_unknown	Pycsar
qatABCD	qatABCD
qatABCD_other	qatABCD
RADAR	RADAR
retron_I-A	Retron
retron_I-B	Retron
retron_I-C	Retron
retron_II-A	Retron
retron_III-A	Retron
retron_IV	Retron
retron_IX	Retron
retron_V	Retron
retron_VI	Retron
retron_VII-A1	Retron
retron_VII-A2	Retron
retron_XI	Retron
retron_XII	Retron
retron_XIII	Retron
RM_type_I	RM
RM_type_II	RM
RM_type_IIG	RM
RM_type_III	RM
RM_type_IV	RM
septu_other	Septu
septu_type_I	Septu
shedu	Shedu
spbK	SpbK
Stk2	Stk2
TerY-P	TerY-P
TerY-P_other	TerY-P
thoeris_other	Thoeris
thoeris_type_I	Thoeris
thoeris_type_II	Thoeris
Tin	Abi
TIR-NLR	TIR-NLR
tmn	Tmn
upx	Upx
viperin_kinase_fusion	Viperin
viperin_solo	Viperin
viperin_toxin	Viperin
wadjet_other	Wadjet
wadjet_type_I	Wadjet
wadjet_type_II	Wadjet
wadjet_type_III	Wadjet
zorya_other	Zorya
zorya_type_I	Zorya
zorya_type_II	Zorya
zorya_type_III	Zorya
I-A	CRISPR-Cas_cctyper
I-B	CRISPR-Cas_cctyper
I-C	CRISPR-Cas_cctyper
I-D	CRISPR-Cas_cctyper
I-E	CRISPR-Cas_cctyper
I-F	CRISPR-Cas_cctyper
I-F_T	CRISPR-Cas_cctyper
I-G	CRISPR-Cas_cctyper
II-A	CRISPR-Cas_cctyper
II-B	CRISPR-Cas_cctyper
II-C	CRISPR-Cas_cctyper
III-A	CRISPR-Cas_cctyper
III-B	CRISPR-Cas_cctyper
III-C	CRISPR-Cas_cctyper
III-D	CRISPR-Cas_cctyper
IV-A1	CRISPR-Cas_cctyper
V-A	CRISPR-Cas_cctyper
V-K	CRISPR-Cas_cctyper
VI-A	CRISPR-Cas_cctyper
VI-B1	CRISPR-Cas_cctyper
